C1, 4.84, 5.56, 90.00, 10uF, EIA3216
C2, 11.39, 3.89, 270.00, 100nF 50V, C0603
C4, 17.78, 10.24, 270.00, 100nF 50V, C0603
JP1, 1.78, 6.99, 90.00, , 1X03_SMT
R1, 5.28, 9.56, 270.00, 10k, R0603
R2, 17.78, 4.09, 270.00, 20k, R0603
R3, 17.78, 7.14, 270.00, 10k, R0603
U1, 7.86, 3.81, 270.00, MIC5205-3.3, SOT23-5
U2, 10.28, 8.77, 90.00, , MLF32-PAD
Y2, 13.89, 4.84, 270.00, CSTNE8M00G550000R0, RESONATOR-SMD-3.2X1.3
